"ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual"
"174F20190A462659","electric_bike","2024-05-16 09:49:13","2024-05-16 10:11:07","Hyde Square - Barbara St at Centre St","E32003","Boston Convention and Exhibition Center - Summer St at West Side Dr","D32018",42.321689248,-71.110070944,42.347763454147454,-71.0453599691391,"member"
"992FD7CE15CEF78A","classic_bike","2024-05-24 23:06:01","2024-05-24 23:11:19","MIT at Mass Ave / Amherst St","M32006","Galileo Galilei Way at Main Street","M32072",42.3581,-71.093198,42.363003781560096,-71.08974037706501,"member"
"DA59F68758599FB1","classic_bike","2024-05-25 09:20:11","2024-05-25 09:38:47","Union Square - Brighton Ave at Cambridge St","A32001","Dartmouth St at Newbury St","D32045",42.353334,-71.137313,42.35096144421219,-71.07782810926437,"member"
"DBF75B0A36F42BE5","classic_bike","2024-05-01 08:17:40","2024-05-01 08:36:26","Union Square - Brighton Ave at Cambridge St","A32001","Dartmouth St at Newbury St","D32045",42.353334,-71.137313,42.35096144421219,-71.07782810926437,"member"
"02BCBD9B6F308970","electric_bike","2024-05-31 09:54:50","2024-05-31 10:25:07","Northbourne Rd at Hyde Park Ave","C32078","Government Center - Cambridge St at Court St","B32032",42.291180372,-71.117678165,42.3598253979878,-71.05979576244862,"member"
"D411BD18000203DA","electric_bike","2024-05-29 21:23:19","2024-05-29 21:43:44","Tappan St at Brookline Hills MBTA","K32008","John Ahern Field at Kennedy-Longfellow School","M32083",42.331442833,-71.12718153,42.36903566594827,-71.08630959910442,"member"
"48306588E3D64DB0","classic_bike","2024-05-10 09:12:27","2024-05-10 09:27:21","Union Square - Brighton Ave at Cambridge St","A32001","MIT Stata Center at Vassar St / Main St","M32005",42.353334,-71.137313,42.3621312344991,-71.09115600585936,"member"
"785247F26D5D499A","classic_bike","2024-05-07 07:31:13","2024-05-07 07:45:21","Union Square - Brighton Ave at Cambridge St","A32001","MIT Stata Center at Vassar St / Main St","M32005",42.353334,-71.137313,42.3621312344991,-71.09115600585936,"member"
"FF9B544E9EA96808","classic_bike","2024-05-31 19:02:43","2024-05-31 19:06:45","Maverick St at Massport Path","A32044","Bremen St at Marion St","A32032",42.36774122306014,-71.0333597474255,42.37410622047334,-71.03276252757496,"member"
"7EBF7F80FDB2F941","classic_bike","2024-05-24 23:14:00","2024-05-24 23:26:41","Maverick St at Massport Path","A32044","Bremen St at Marion St","A32032",42.36774122306014,-71.0333597474255,42.37410622047334,-71.03276252757496,"casual"
"7D680019E8ECF270","classic_bike","2024-05-15 07:51:07","2024-05-15 08:01:24","Lesley University","M32039","Harvard University River Houses at DeWolfe St / Cowperthwaite St","M32038",42.38674802045056,-71.11901879310608,42.369239074859216,-71.11687034368515,"member"
"0761740EFEE0DFDA","classic_bike","2024-05-24 23:14:29","2024-05-24 23:26:37","Maverick St at Massport Path","A32044","Bremen St at Marion St","A32032",42.36774122306014,-71.0333597474255,42.37410622047334,-71.03276252757496,"member"
"6D54A98B5379EEDD","electric_bike","2024-05-14 08:08:18","2024-05-14 08:33:26","Bowdoin St at Quincy St","B32031","HMS/HSPH - Avenue Louis Pasteur at Longwood Ave","B32003",42.307827592,-71.065198302,42.3374174845973,-71.10286116600037,"member"
"5F6CB790AC51583D","electric_bike","2024-05-07 07:45:12","2024-05-07 08:06:10","Bowdoin St at Quincy St","B32031","HMS/HSPH - Avenue Louis Pasteur at Longwood Ave","B32003",42.307847261,-71.065104485,42.3374174845973,-71.10286116600037,"member"
"09693AD8C5549005","electric_bike","2024-05-31 23:21:46","2024-06-01 01:00:29","Congress St at Boston City Hall","D32009",,,42.360590219,-71.057534099,42.35,-71.07,"member"
"859EA083AA99B2D4","classic_bike","2024-05-20 18:48:57","2024-05-20 18:52:28","MIT at Mass Ave / Amherst St","M32006","MIT Carleton St at Amherst St","M32070",42.3581,-71.093198,42.36054174140606,-71.08669817447662,"member"
"A497A37427661781","classic_bike","2024-05-13 18:38:24","2024-05-13 18:42:56","MIT at Mass Ave / Amherst St","M32006","MIT Carleton St at Amherst St","M32070",42.3581,-71.093198,42.36054174140606,-71.08669817447662,"member"
"ED9EC7153AFE1E4B","classic_bike","2024-05-21 17:48:27","2024-05-21 17:52:02","MIT at Mass Ave / Amherst St","M32006","MIT Carleton St at Amherst St","M32070",42.3581,-71.093198,42.36054174140606,-71.08669817447662,"member"
"B7163F27320F541F","classic_bike","2024-05-20 10:54:42","2024-05-20 10:57:50","MIT at Mass Ave / Amherst St","M32006","MIT Carleton St at Amherst St","M32070",42.3581,-71.093198,42.36054174140606,-71.08669817447662,"member"
"059558E8A9FAB03A","classic_bike","2024-05-31 13:42:34","2024-05-31 14:03:32","Hyde Square - Barbara St at Centre St","E32003","Landmark Center - Brookline Ave at Park Dr","B32015",42.32176525723952,-71.10984160567114,42.343690557197476,-71.10235286881107,"member"
"4E80154EE82F4136","electric_bike","2024-05-14 18:06:51","2024-05-14 18:19:15","Washington St at Egremont Rd","A32037","Marion St at Harvard St","K32012",42.342889786,-71.141348481,42.340122426966424,-71.12070563810447,"member"
"7432FF4594030125","classic_bike","2024-05-23 05:50:54","2024-05-23 05:54:45","Washington St at Egremont Rd","A32037","JFK Crossing at Harvard St. / Thorndike St.","K32004",42.34286835071959,-71.14127840855872,42.346551241753566,-71.1283321143128,"member"
"4D8F7BCC5869C6A6","classic_bike","2024-05-23 08:04:31","2024-05-23 08:18:01","359 Broadway - Broadway at Fayette Street","M32026","Rindge Avenue - O'Neill Library","M32036",42.370803,-71.104412,42.392766,-71.129042,"member"
"290EEF2C450D6007","electric_bike","2024-05-31 19:00:34","2024-05-31 19:22:07","Blue Hill Ave at Southwood St","B32057","Landmark Center - Brookline Ave at Park Dr","B32015",42.317902088,-71.077993989,42.343690557197476,-71.10235286881107,"casual"
"631D45E0DDAA65B9","electric_bike","2024-05-11 18:51:45","2024-05-11 19:15:34","Harvard St at Greene-Rose Heritage Park","M32055","Marion St at Harvard St","K32012",42.365993738,-71.095170379,42.340122426966424,-71.12070563810447,"member"
